product_id,category,product_name,brand,price_inr,rating,reviews_count,customer_review,spec_feature_1,spec_ram,spec_storage
ELEC001,Laptop,TechNova Laptop Model 1,TechNova,95247,4.3,568,Good overall purchase with strong feature set.,Ryzen 7,8GB,256GB
ELEC002,Smartphone,NovaMobile Smartphone Model 2,NovaMobile,51769,4.1,548,Excellent value for money and reliable performance.,Tensor G4,32GB,1TB
ELEC003,Headphones,AudioMax Headphones Model 3,AudioMax,47179,4.9,1594,Build quality feels premium and durable.,Bluetooth 5.3,8GB,512GB
ELEC004,Tablet,DigiPad Tablet Model 4,DigiPad,16583,4.9,2881,User interface is smooth and easy to use.,11-inch,32GB,128GB
ELEC005,Smartwatch,FitTrack Smartwatch Model 5,FitTrack,17224,4.2,3235,Battery life exceeded expectations during daily use.,ECG,12GB,256GB
ELEC006,Monitor,VisionView Monitor Model 6,VisionView,7887,4.2,1384,Good overall purchase with strong feature set.,165Hz,8GB,256GB
ELEC007,SSD,FlashCore SSD Model 7,FlashCore,32574,4.6,3328,Great performance for productivity and entertainment.,7000MB/s,16GB,1TB
ELEC008,Router,NetWave Router Model 8,NetWave,101659,4.4,3222,Great performance for productivity and entertainment.,Mesh,16GB,128GB
ELEC009,Laptop,TechNova Laptop Model 9,TechNova,39780,4.8,809,Excellent value for money and reliable performance.,Intel i5,12GB,256GB
ELEC010,Smartphone,NovaMobile Smartphone Model 10,NovaMobile,109512,4.3,3768,Great performance for productivity and entertainment.,Tensor G4,32GB,128GB
ELEC011,Headphones,AudioMax Headphones Model 11,AudioMax,87306,4.3,4324,Battery life exceeded expectations during daily use.,Hi-Res Audio,16GB,1TB
ELEC012,Tablet,DigiPad Tablet Model 12,DigiPad,45713,4.0,1745,Excellent value for money and reliable performance.,13-inch OLED,32GB,1TB
ELEC013,Smartwatch,FitTrack Smartwatch Model 13,FitTrack,41985,4.7,525,Great performance for productivity and entertainment.,GPS,8GB,128GB
ELEC014,Monitor,VisionView Monitor Model 14,VisionView,79569,4.4,994,User interface is smooth and easy to use.,4K IPS,8GB,128GB
